类别,产品名,英文
地面配件,椅子,"chair, desk chair, office chair, gaming chair"
地面配件,地毯,"rug, chair mat, gaming rug, floor mat"
墙面配件,洞洞板,pegboard
桌面配件,桌子,"desk, gaming desk, battle station, gaming setup table"
桌面配件,桌垫,"desk mat, gaming desk pad, full desk mat"
桌面配件,鼠标垫,"mouse pad, wrist rest, gaming mouse pad, XL mouse mat"
桌面配件,手机支架,"telephone stand, phone holder, mobile stand"
桌面配件,小高台,"monitor stand, monitor riser, monitor shelf, screen riser, screen lift"
桌面配件,显示器支架,"monitor arm, monitor mount, display arm"
桌面配件,收纳盒,"drawer organizer, desk organizer, storage box"
桌面配件,笔筒,"pen holder, pen stand, desktop cup"
桌面配件,笔记本电脑支架,"laptop stand, laptop riser, notebook lift, laptop holder, laptop mount"
桌面配件,线缆管理器,"cable management, cable management organizer, cord organizer, cable box, wire manager"
桌面配件,键盘支架,"keyboard drawer, keyboard platform, keyboard tray, pull-out keyboard mount"
桌面配件,耳机支架,"headphone stand, headset holder, headset hook, headphone hanger"
桌面配件,灯带/灯效,"RGB, led light, RGB lights, RGB strip, light strip, LED tape,lighting setup, gamer lights"
生活用品,水杯,"cup, mug, tumbler, gaming cup"
生活用品,杯垫,"coaster, cup mat, desk coaster"
生活用品,摆件,"decor, statue, sculpture, desktop ornament, figurine"
生活用品,台灯,"lamp, vibe light"
生活用品,饮品/奶茶/咖啡/零食,"food, drinks, milk tea, coffee, snacks, latte, sparkling water, gamer snacks, energy drink, bubble tea, soda, chips"
电子设备,充电器,"charger, ubs, USB charger, fast charger, charging brick"
桌面配件,笔记本电脑散热器,"laptop cooling pad, laptop cooler"
桌面配件,电源,"power strip, power supply, power outlet, power"
